,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate,ask_rate,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
2643,2010-04-02,0.225,0.21,0.365,0.1,0.1,0.365,6.75,7.0,6.75,7.0,0.1,0.25
2644,2010-04-05,0.225,0.23,0.365,0.1,0.1,0.365,6.75,7.0,6.75,7.0,0.1,0.25
2645,2010-04-06,1.8879,1.89,1.8956,1.8826,1.8826,1.8956,6.75,7.0,6.75,7.0,0.1,0.25
2646,2010-04-07,1.8869999999999998,1.8893,1.8914,1.8797,1.8797,1.8914,6.75,7.0,6.75,7.0,0.1,0.25
2647,2010-04-08,1.8878,1.8908,1.8913,1.8780000000000001,1.8780000000000001,1.8913,6.75,7.0,6.75,7.0,0.1,0.25
2648,2010-04-09,1.8931,1.8877,1.8944,1.8823,1.8823,1.8944,6.75,7.0,6.75,7.0,0.1,0.25
2649,2010-04-12,1.9022,1.8875,1.9054,1.8861,1.8861,1.9054,6.75,7.0,6.75,7.0,0.1,0.25
2650,2010-04-13,1.9006,1.9024,1.9084,1.8772,1.8772,1.9084,6.75,7.0,6.75,7.0,0.1,0.25
2651,2010-04-14,1.9035,1.8965,1.9101,1.89,1.89,1.9101,6.75,7.0,6.75,7.0,0.1,0.25
2652,2010-04-15,1.8984,1.903,1.9033,1.8825,1.8825,1.9033,6.75,7.0,6.75,7.0,0.1,0.25
2653,2010-04-16,1.8889,1.8995,1.9005,1.8752,1.8752,1.9005,6.75,7.0,6.75,7.0,0.1,0.25
2654,2010-04-19,1.8923,1.896,1.8989,1.8813,1.8813,1.8989,6.75,7.0,6.75,7.0,0.1,0.25
2655,2010-04-20,1.8968,1.895,1.8993,1.8811,1.8811,1.8993,6.75,7.0,6.75,7.0,0.1,0.25
2656,2010-04-21,1.8935,1.896,1.8968,1.8786,1.8786,1.8968,6.75,7.0,6.75,7.0,0.1,0.25
2657,2010-04-22,1.8878,1.8932,1.8955,1.8771,1.8771,1.8955,6.75,7.0,6.75,7.0,0.1,0.25
2658,2010-04-23,1.8941,1.8853,1.9011,1.8754,1.8754,1.9011,6.75,7.0,6.75,7.0,0.1,0.25
2659,2010-04-26,1.8938,1.8944,1.8996,1.8808,1.8808,1.8996,6.75,7.0,6.75,7.0,0.1,0.25
2660,2010-04-27,1.8897,1.8949,1.8991,1.8794,1.8794,1.8991,6.75,7.0,6.75,7.0,0.1,0.25
2661,2010-04-28,1.8909,1.8891,1.8992,1.876,1.876,1.8992,6.75,7.0,6.75,7.0,0.1,0.25
2662,2010-04-29,1.8989,1.895,1.9052,1.8809,1.8809,1.9052,6.75,7.0,6.75,7.0,0.1,0.25
2663,2010-04-30,1.9008,1.8977,1.9067,1.8852,1.8852,1.9067,6.75,7.0,6.75,7.0,0.1,0.25
2664,2010-05-03,1.8967,1.8967,1.9006,1.8774,1.8774,1.9006,6.75,7.0,6.75,7.0,0.1,0.25
2665,2010-05-04,1.8883,1.8959,1.8959,1.8831,1.8831,1.8959,6.75,7.0,6.75,7.0,0.1,0.25
2666,2010-05-05,1.8854,1.8848,1.8909,1.8745,1.8745,1.8909,6.75,7.0,6.75,7.0,0.1,0.25
2667,2010-05-06,1.8783,1.8807,1.8885,1.8707,1.8707,1.8885,6.75,7.0,6.75,7.0,0.1,0.25
2668,2010-05-07,1.8751,1.8761,1.8877,1.8659999999999999,1.8659999999999999,1.8877,6.75,7.0,6.75,7.0,0.1,0.25
2669,2010-05-10,1.8865,1.8742,1.8965,1.8504,1.8504,1.8965,6.75,7.0,6.75,7.0,0.1,0.25
2670,2010-05-11,1.8721,1.8813,1.8821,1.8589,1.8589,1.8821,6.75,7.0,6.75,7.0,0.1,0.25
2671,2010-05-12,1.869,1.8672,1.8763,1.8569,1.8569,1.8763,6.75,7.0,6.75,7.0,0.1,0.25
2672,2010-05-13,0.3,0.24,0.4,0.12,0.12,0.4,6.75,7.0,6.75,7.0,0.1,0.25
2673,2010-05-14,1.8595,1.865,1.8755,1.8498,1.8498,1.8755,6.75,7.0,6.75,7.0,0.1,0.25
2674,2010-05-17,1.8586,1.8542,1.8694,1.8492,1.8492,1.8694,6.75,7.0,6.75,7.0,0.1,0.25
2675,2010-05-18,1.8531,1.8594,1.8652,1.8515,1.8515,1.8652,6.75,7.0,6.75,7.0,0.1,0.25
2676,2010-05-19,1.8612,1.8552,1.8646,1.8374,1.8374,1.8646,6.75,7.0,6.75,7.0,0.1,0.25
